year,bowdoin,bates,colby,williams,amherst,middlebury
2000,4154,4123,3812,5042,5128,4287
2001,4231,4198,3901,5178,5245,4401
2002,4312,4276,3993,5318,5366,4519
2003,4396,4357,4087,5462,5491,4641
2004,4484,4441,4186,5610,5619,4767
2005,4575,4528,4290,5762,5751,4897
2006,4669,4618,4401,5918,5887,5031
2007,4767,4712,4520,6078,6027,5170
2008,4868,4809,4648,6243,6171,5313
2009,4973,4909,4784,6413,6319,5461
2010,5082,5013,4932,6588,6471,5614
2011,5267,5187,5231,6890,6720,5832
2012,5542,5441,5698,7320,7105,6148
2013,5912,5778,6348,7890,7631,6574
2014,6390,6200,7190,8512,8301,7112
2015,6870,6640,8245,9178,9117,7764
2016,7245,6987,9512,9658,9843,8432
2017,7643,7354,10876,10142,10598,9215
2018,7987,7721,11843,10543,11287,9987
2019,8234,6987,13156,10134,11234,10543
2020,9178,7234,14421,10987,12134,11234
2021,9543,7456,15123,11234,12543,11543
2022,9712,7312,14987,11456,12234,11012
2023,9834,7198,14521,10987,12456,10987
2024,9756,7234,13978,10876,12287,10876
