year,source_file,apps_men,apps_women,total_apps,admits_men,admits_women,total_admits,enrolled_men,enrolled_women,total_enrolled,accept_rate,yield_rate,total_undergrad,retention_rate,grad_rate_6yr,ed_apps,ed_admits,apps_instate,apps_outofstate,apps_intl,admits_instate,admits_outofstate,admits_intl,enrolled_instate,enrolled_outofstate,enrolled_intl,enroll_hispanic,enroll_black,enroll_white,enroll_aian,enroll_asian,enroll_nhpi,enroll_two_or_more,enroll_unknown,deg_pct_area_ethnic_studies,deg_pct_biological_life_sciences,deg_pct_computer_info_sciences,deg_pct_english,deg_pct_foreign_languages,deg_pct_history,deg_pct_interdisciplinary,deg_pct_mathematics,deg_pct_natural_resources,deg_pct_philosophy_religion,deg_pct_physical_sciences,deg_pct_psychology,deg_pct_social_sciences,deg_pct_visual_performing_arts,deg_diploma_pct_education,deg_total_graduates
2001,2001-2002_CDS.pdf,2185.0,2351.0,4536,512.0,568.0,1080,224,228,452,23.8,41.9,1635,94.2,88.8,583,184,,,,,,,70.0,367.0,15.0,13,25,344,2,35,,,18,3.5,13.1,1.4,9.3,10.4,,1.9,1.4,7.1,3.6,4.0,5.4,35.8,3.3,,429.0
2002,2002-2003_CDS.pdf,2130.0,2375.0,4505,498.0,616.0,1114,220,238,458,24.7,41.1,1657,94.5,90.2,627,174,,,,,,,58.0,385.0,15.0,26,31,321,4,56,,,5,2.66,12.93,2.85,7.99,8.75,,2.28,2.47,4.56,3.04,4.75,5.13,37.64,4.94,,404.0
2003,2003-2004_CDS.pdf,2248.0,2471.0,4719,515.0,637.0,1152,228,239,467,24.4,40.5,1647,93.0,89.8,552,167,,,,,,,54.0,398.0,15.0,31,25,334,2,55,,,3,2.0,10.0,2.0,8.0,10.0,,3.0,3.0,5.0,3.0,4.0,6.0,35.0,9.0,2.0,
2004,2004-2005_CDS.pdf,2328.0,2525.0,4853,553.0,633.0,1186,235,236,471,24.4,39.7,1677,98.7,89.6,623,189,,,,,,,50.0,406.0,15.0,31,26,312,8,63,,,15,3.2,8.7,0.8,7.4,12.1,,2.5,1.9,3.6,4.3,4.3,4.3,38.8,8.1,2.7,
2005,2005-2006_CDS.pdf,2330.0,2696.0,5026,577.0,655.0,1232,221,257,478,24.5,38.8,1666,97.0,94.0,621,183,,,,,,,56.0,411.0,11.0,38,28,327,10,58,,,5,5.4,9.1,2.0,4.2,12.5,7.1,3.4,1.8,5.3,2.4,5.1,3.1,31.6,7.1,1.0,
2006,2006-2007_CDS.pdf,2396.0,3005.0,5401,557.0,608.0,1165,221,253,474,21.6,40.7,1734,98.0,92.0,633,197,,,,,,,55.0,400.0,19.0,28,15,337,3,61,,,11,5.0,9.0,1.0,7.0,8.0,5.0,4.0,3.0,3.0,4.0,4.0,5.0,34.0,8.0,,
2007,2007-2008_CDS.pdf,2659.0,3302.0,5961,591.0,539.0,1130,226,250,476,19.0,42.1,1716,99.0,89.0,710,211,,,,,,,56.0,407.0,13.0,50,42,309,0,51,,,11,5.0,7.0,2.0,6.0,9.0,8.0,5.0,1.0,5.0,3.0,4.0,3.0,33.0,9.0,,
2008,2008-2009_CDS.pdf,2708.0,3325.0,6033,556.0,563.0,1119,257,232,489,18.5,43.7,1723,97.0,91.0,690,207,,,,,,,61.0,412.0,16.0,61,37,309,2,58,,,5,7.0,8.0,2.0,7.0,10.0,7.0,4.0,3.0,5.0,3.0,3.0,5.0,29.0,7.0,,
2009,2009-2010_CDS.pdf,2608.0,3332.0,5940,575.0,578.0,1153,241,253,494,19.4,42.8,1777,96.0,94.0,694,208,,,,,,,62.0,413.0,19.0,67,32,320,5,50,,,0,6.0,8.0,1.0,6.0,10.0,8.0,4.0,3.0,4.0,3.0,6.0,6.0,29.0,6.0,,
2010,2010-2011_CDS.pdf,2582.0,3436.0,6018,588.0,595.0,1183,260,250,510,19.7,43.1,1762,94.0,93.0,740,226,,,,,,,54.0,437.0,19.0,65,23,320,1,37,0.0,34.0,8,4.0,11.0,2.0,8.0,10.0,6.0,1.0,3.0,4.0,2.0,5.0,3.0,33.0,8.0,,
