year,avg_applied,avg_admitted,avg_enrolled,avg_acceptance_rate,avg_yield_rate,avg_est_fte,avg_grad_rate_150,n_institutions
2001,1737.14,1243.29,441.57,75.3711305191391,42.287527598107914,,55.87,245
2002,1957.17,1356.26,484.04,73.13071798149548,41.744915792223615,,56.99,243
2003,2291.78,1565.9,536.21,73.09944491096284,39.73040769151059,2543.23,57.26,243
2004,2420.73,1655.7,565.66,71.02516694148828,39.3807798682328,2620.13,57.7,241
2005,2540.78,1680.19,561.43,69.95277306677137,39.28222546273589,2680.12,57.59,241
2006,2880.04,1833.2,592.69,69.39989052605608,36.51161133656431,2750.1,57.91,241
2007,3093.04,1909.72,598.92,67.78944103474016,35.416699483524305,2819.28,58.31,241
2008,3127.24,1945.74,593.48,66.84480057177696,35.567600436291926,2840.56,58.97,241
2009,3276.69,2085.65,584.65,67.54719648988181,33.85982592364072,2967.85,58.62,240
2010,2951.79,1488.18,394.16,58.75877540219658,32.04213625989194,1504.46,68.44,227
2011,3159.0,1562.67,391.53,58.63248644778828,29.574035919436586,1527.26,68.74,224
2012,3207.53,1616.13,390.29,58.40329536889731,29.030666285791344,1518.84,70.25,222
2013,3249.47,1653.5,391.15,59.103976987941685,28.276438518311497,1513.57,69.02,223
2014,3301.27,1698.07,387.64,59.78657688578785,27.690037454782278,1496.04,69.54,222
2015,3623.75,1792.7,391.45,58.32970719435043,26.196507428141704,1515.98,70.76,218
2016,3832.49,1888.4,394.06,58.16147496740317,25.454542276407366,1522.63,70.88,215
2017,3853.12,1901.7,390.26,58.38271752898624,24.971996423821597,1514.22,71.43,214
2018,3973.73,1944.45,395.47,58.61781201041518,26.13866049106653,1477.0,71.25,207
2019,4037.87,1931.14,378.62,58.83873091287069,25.160255410733814,1457.65,71.18,207
2020,3892.83,1979.22,354.22,61.32972563780387,22.885708231708396,1403.55,70.23,205
2021,4191.42,2025.79,378.44,62.28445443453165,25.079678374366093,1391.82,70.4,201
2022,4491.15,2049.56,370.29,59.73392212950738,24.69560013523555,,69.97,201
