unitid,year,inst_name,applied,admitted,enrolled,est_fte,grad_rate_150,acceptance_rate,yield_rate,is_bowdoin,enroll_nonresident,enroll_hispanic,enroll_aian,enroll_asian,enroll_black,enroll_nhpi,enroll_white,enroll_two_or_more,enroll_unknown,enroll_instate,enroll_outofstate,enroll_intl,deg_diploma_pct_education,deg_pct_area_ethnic_studies,deg_pct_biological_life_sciences,deg_pct_computer_info_sciences,deg_pct_english,deg_pct_foreign_languages,deg_pct_history,deg_pct_interdisciplinary,deg_pct_mathematics,deg_pct_natural_resources,deg_pct_philosophy_religion,deg_pct_physical_sciences,deg_pct_psychology,deg_pct_social_sciences,deg_pct_visual_performing_arts,deg_total_graduates
164465,2010,Amherst College,8099.0,1240.0,490.0,1932.0,95.5,15.31053216446475,39.516129032258064,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164465,2011,Amherst College,8460.0,1127.0,461.0,1931.0,95.0,13.321513002364066,40.90505767524401,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164465,2012,Amherst College,8461.0,1127.0,461.0,1961.0,97.2,13.319938541543552,40.90505767524401,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164465,2013,Amherst College,7927.0,1132.0,466.0,1939.0,95.9,14.280307808754888,41.1660777385159,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164465,2014,Amherst College,8477.0,1173.0,469.0,1922.0,96.5,13.837442491447446,39.98294970161978,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164465,2015,Amherst College,8568.0,1210.0,477.0,1914.0,95.6,14.122315592903828,39.421487603305785,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164465,2016,Amherst College,8396.0,1149.0,471.0,1947.0,96.8,13.685088137208195,40.992167101827675,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164465,2017,Amherst College,9285.0,1198.0,471.0,1943.0,93.2,12.902530963920302,39.31552587646077,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164465,2018,Amherst College,9722.0,1246.0,492.0,1932.0,96.2,12.816292943838716,39.48635634028893,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164465,2019,Amherst College,10568.0,1195.0,470.0,1991.0,95.4,11.30772142316427,39.33054393305439,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164465,2020,Amherst College,10600.0,1253.0,434.0,1770.0,93.2,11.820754716981131,34.63687150837989,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164465,2021,Amherst College,13999.0,1224.0,515.0,2141.0,95.3,8.743481677262661,42.07516339869281,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164465,2022,Amherst College,14105.0,1033.0,453.0,,95.7,7.323644097837646,43.852855759922555,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
