year,bowdoin,bates,colby,williams,amherst,middlebury
2000,52.1,30.4,27.8,48.2,40.1,32.4
2001,52.4,30.7,27.9,48.6,40.5,32.7
2002,52.8,31.0,28.1,49.1,41.0,33.1
2003,53.1,31.3,28.3,49.5,41.4,33.4
2004,53.5,31.6,28.4,49.9,41.9,33.8
2005,53.8,31.9,28.6,50.4,42.3,34.2
2006,54.2,32.3,28.8,50.8,42.8,34.6
2007,54.5,32.6,29.0,51.3,43.2,35.0
2008,54.9,33.0,29.2,51.7,43.7,35.4
2009,55.2,33.3,29.4,52.2,44.2,35.8
2010,55.6,33.6,29.5,52.6,44.6,36.2
2011,55.8,33.9,29.7,52.9,45.0,36.5
2012,56.0,34.1,29.8,53.2,45.3,36.7
2013,56.2,34.3,29.9,53.5,45.6,37.0
2014,56.4,34.5,30.0,53.8,45.9,37.2
2015,56.6,34.7,30.1,54.0,46.2,37.4
2016,56.7,34.8,29.9,54.1,46.4,37.5
2017,56.8,34.9,29.6,54.2,46.6,37.6
2018,56.9,35.0,29.4,54.3,46.8,37.7
2019,57.0,35.1,29.1,54.5,47.0,37.8
2020,57.2,35.3,28.8,54.7,47.3,38.0
2021,57.4,35.5,28.6,54.9,47.5,38.2
2022,57.6,35.7,28.3,55.1,47.8,38.4
2023,57.8,35.9,28.1,55.3,48.0,38.6
2024,58.0,36.1,27.9,55.5,48.2,38.8
