unitid,year,applied,admitted,enrolled,est_fte,grad_rate_150,inst_name,acceptance_rate,yield_rate,is_bowdoin
101693,2001,450.0,440.0,220.0,,53.4,UNIVERSITY OF MOBILE,97.77777777777777,50.0,False
102049,2001,1903.0,1675.0,663.0,,67.3,SAMFORD UNIVERSITY,88.01891749868629,39.582089552238806,False
102234,2001,1000.0,774.0,251.0,,63.6,SPRING HILL COLLEGE,77.4,32.428940568475454,False
102377,2001,2059.0,1475.0,597.0,,53.7,TUSKEGEE UNIVERSITY,71.63671685284119,40.47457627118644,False
102669,2001,54.0,52.0,44.0,,62.5,ALASKA PACIFIC UNIVERSITY,96.29629629629629,84.61538461538461,False
104717,2001,823.0,567.0,248.0,,51.5,GRAND CANYON UNIVERSITY,68.89428918590522,43.738977072310405,False
109785,2001,2026.0,1534.0,754.0,,57.4,AZUSA PACIFIC UNIVERSITY,75.71569595261599,49.152542372881356,False
110361,2001,793.0,625.0,237.0,,44.7,CALIFORNIA BAPTIST UNIVERSITY,78.81462799495587,37.92,False
110413,2001,1029.0,859.0,392.0,,74.8,CALIFORNIA LUTHERAN UNIVERSITY,83.47910592808552,45.63445867287544,False
111948,2001,2416.0,1690.0,756.0,,58.9,CHAPMAN UNIVERSITY,69.95033112582782,44.73372781065088,False
113698,2001,0.0,0.0,0.0,,53.7,DOMINICAN UNIVERSITY OF CALIFORNIA,,,False
114813,2001,830.0,632.0,201.0,,63.4,FRESNO PACIFIC UNIVERSITY,76.144578313253,31.80379746835443,False
115728,2001,167.0,119.0,46.0,,20.6,HOLY NAMES COLLEGE,71.25748502994011,38.655462184873954,False
116712,2001,0.0,0.0,0.0,,,JOHN F KENNEDY UNIVERSITY,,,False
117627,2001,921.0,539.0,287.0,,36.6,LA SIERRA UNIVERSITY,58.52334419109664,53.246753246753244,False
117946,2001,7468.0,4446.0,1259.0,,74.5,LOYOLA MARYMOUNT UNIVERSITY,59.534011783610076,28.317588843904634,False
119058,2001,0.0,0.0,0.0,,,MONTEREY INSTITUTE OF INTERNATIONAL STUDIES,,,False
119173,2001,378.0,338.0,157.0,,65.2,MOUNT ST MARY'S COLLEGE,89.41798941798942,46.44970414201183,False
119605,2001,203.0,203.0,73.0,,50.0,NATIONAL UNIVERSITY,100.0,35.960591133004925,False
120184,2001,431.0,360.0,117.0,,56.0,NOTRE DAME DE NAMUR UNIVERSITY,83.52668213457076,32.5,False
120537,2001,368.0,295.0,158.0,,44.4,HOPE INTERNATIONAL UNIVERSITY,80.16304347826086,53.559322033898304,False
121691,2001,2478.0,1909.0,614.0,,60.7,UNIVERSITY OF REDLANDS,77.03793381759483,32.1634363541121,False
122931,2001,5910.0,3592.0,1026.0,,80.9,SANTA CLARA UNIVERSITY,60.77834179357022,28.563474387527837,False
123554,2001,3230.0,2491.0,583.0,,75.0,SAINT MARYS COLLEGE OF CALIFORNIA,77.12074303405572,23.404255319148938,False
126669,2001,906.0,675.0,271.0,,35.5,COLORADO CHRISTIAN UNIVERSITY,74.50331125827815,40.14814814814815,False
127918,2001,1342.0,1160.0,309.0,,65.0,REGIS UNIVERSITY,86.43815201192251,26.637931034482758,False
129242,2001,7128.0,3504.0,832.0,,82.5,FAIRFIELD UNIVERSITY,49.158249158249156,23.74429223744292,False
129941,2001,2471.0,1875.0,554.0,,45.0,UNIVERSITY OF NEW HAVEN,75.88021044111696,29.546666666666667,False
130226,2001,7281.0,5371.0,1187.0,,66.6,QUINNIPIAC UNIVERSITY,73.76733965114683,22.10016756656116,False
130253,2001,4300.0,3118.0,766.0,,61.5,SACRED HEART UNIVERSITY,72.51162790697674,24.56703014753047,False
130314,2001,0.0,0.0,0.0,,49.4,SAINT JOSEPH COLLEGE,,,False
131450,2001,411.0,289.0,235.0,,36.2,GALLAUDET UNIVERSITY,70.31630170316302,81.31487889273356,False
131788,2001,0.0,0.0,0.0,,60.0,SOUTHEASTERN UNIVERSITY,,,False
131876,2001,316.0,235.0,121.0,,50.9,TRINITY COLLEGE,74.36708860759494,51.48936170212765,False
132471,2001,2041.0,1472.0,413.0,,46.5,BARRY UNIVERSITY,72.12150906418422,28.0570652173913,False
132657,2001,2562.0,1906.0,466.0,,68.0,LYNN UNIVERSITY,74.39500390320063,24.449108079748164,False
