unitid,year,inst_name,slug,state,color,group_maine,group_new_england,is_bowdoin,applied,admitted,enrolled,acceptance_rate,yield_rate,grad_rate_150
164465,2002,Amherst College,amherst,MA,#C07400,False,True,False,5238,957,409,18.27,42.74,
164465,2003,Amherst College,amherst,MA,#C07400,False,True,False,5632,1003,413,17.81,41.18,
164465,2004,Amherst College,amherst,MA,#C07400,False,True,False,5489,1136,427,20.7,37.59,
164465,2005,Amherst College,amherst,MA,#C07400,False,True,False,6284,1175,431,18.7,36.68,
164465,2006,Amherst College,amherst,MA,#C07400,False,True,False,6142,1144,433,18.63,37.85,
164465,2007,Amherst College,amherst,MA,#C07400,False,True,False,6680,1175,474,17.59,40.34,
164465,2008,Amherst College,amherst,MA,#C07400,False,True,False,7745,1144,438,14.77,38.29,
164465,2009,Amherst College,amherst,MA,#C07400,False,True,False,7679,1227,467,15.98,38.06,
164465,2010,Amherst College,amherst,MA,#C07400,False,True,False,8099,1240,490,15.31,39.52,
164465,2011,Amherst College,amherst,MA,#C07400,False,True,False,8460,1127,461,13.32,40.91,
164465,2012,Amherst College,amherst,MA,#C07400,False,True,False,8461,1127,461,13.32,40.91,
164465,2013,Amherst College,amherst,MA,#C07400,False,True,False,7927,1132,466,14.28,41.17,
164465,2014,Amherst College,amherst,MA,#C07400,False,True,False,8477,1173,469,13.84,39.98,
164465,2015,Amherst College,amherst,MA,#C07400,False,True,False,8568,1210,477,14.12,39.42,
164465,2016,Amherst College,amherst,MA,#C07400,False,True,False,8396,1149,471,13.69,40.99,
164465,2017,Amherst College,amherst,MA,#C07400,False,True,False,9285,1198,471,12.9,39.32,
164465,2018,Amherst College,amherst,MA,#C07400,False,True,False,9723,1246,492,12.81,39.49,
164465,2019,Amherst College,amherst,MA,#C07400,False,True,False,10569,1195,470,11.31,39.33,
164465,2020,Amherst College,amherst,MA,#C07400,False,True,False,10603,1254,434,11.83,34.61,
164465,2021,Amherst College,amherst,MA,#C07400,False,True,False,13999,1224,515,8.74,42.08,
164465,2022,Amherst College,amherst,MA,#C07400,False,True,False,14864,1079,467,7.26,43.28,
189097,2002,Barnard College,barnard,NY,#AD1457,False,False,False,3686,1269,543,34.43,42.79,
189097,2003,Barnard College,barnard,NY,#AD1457,False,False,False,4034,1254,554,31.09,44.18,
189097,2004,Barnard College,barnard,NY,#AD1457,False,False,False,4380,1201,553,27.42,46.04,
189097,2005,Barnard College,barnard,NY,#AD1457,False,False,False,4431,1216,571,27.44,46.96,
189097,2006,Barnard College,barnard,NY,#AD1457,False,False,False,4599,1173,556,25.51,47.4,
189097,2007,Barnard College,barnard,NY,#AD1457,False,False,False,4574,1315,559,28.75,42.51,
189097,2008,Barnard College,barnard,NY,#AD1457,False,False,False,4274,1218,574,28.5,47.13,
189097,2009,Barnard College,barnard,NY,#AD1457,False,False,False,4174,1295,594,31.03,45.87,
189097,2010,Barnard College,barnard,NY,#AD1457,False,False,False,4618,1285,580,27.83,45.14,
189097,2011,Barnard College,barnard,NY,#AD1457,False,False,False,5153,1282,612,24.88,47.74,
189097,2012,Barnard College,barnard,NY,#AD1457,False,False,False,5440,1226,599,22.54,48.86,
189097,2013,Barnard College,barnard,NY,#AD1457,False,False,False,5606,1151,580,20.53,50.39,
189097,2014,Barnard College,barnard,NY,#AD1457,False,False,False,5676,1349,619,23.77,45.89,
189097,2015,Barnard College,barnard,NY,#AD1457,False,False,False,6655,1306,635,19.62,48.62,
189097,2016,Barnard College,barnard,NY,#AD1457,False,False,False,7071,1184,605,16.74,51.1,
189097,2017,Barnard College,barnard,NY,#AD1457,False,False,False,7716,1190,603,15.42,50.67,
189097,2018,Barnard College,barnard,NY,#AD1457,False,False,False,7897,1099,605,13.92,55.05,
189097,2019,Barnard College,barnard,NY,#AD1457,False,False,False,9320,1097,632,11.77,57.61,
189097,2020,Barnard College,barnard,NY,#AD1457,False,False,False,9411,1280,690,13.6,53.91,
189097,2021,Barnard College,barnard,NY,#AD1457,False,False,False,10395,1192,769,11.47,64.51,
189097,2022,Barnard College,barnard,NY,#AD1457,False,False,False,12009,1056,697,8.79,66.0,
160977,2002,Bates College,bates,ME,#8C2131,True,True,False,4012,1121,830,27.94,74.04,
160977,2003,Bates College,bates,ME,#8C2131,True,True,False,4089,1254,487,30.67,38.84,
160977,2004,Bates College,bates,ME,#8C2131,True,True,False,4098,1215,467,29.65,38.44,
160977,2005,Bates College,bates,ME,#8C2131,True,True,False,4356,1272,490,29.2,38.52,
160977,2006,Bates College,bates,ME,#8C2131,True,True,False,4305,1363,492,31.66,36.1,
160977,2007,Bates College,bates,ME,#8C2131,True,True,False,4433,1312,442,29.6,33.69,
160977,2008,Bates College,bates,ME,#8C2131,True,True,False,5098,1487,521,29.17,35.04,
160977,2009,Bates College,bates,ME,#8C2131,True,True,False,4767,1284,469,26.94,36.53,
160977,2010,Bates College,bates,ME,#8C2131,True,True,False,4517,1437,495,31.81,34.45,
160977,2011,Bates College,bates,ME,#8C2131,True,True,False,5196,1397,502,26.89,35.93,
160977,2012,Bates College,bates,ME,#8C2131,True,True,False,4906,1305,503,26.6,38.54,
160977,2013,Bates College,bates,ME,#8C2131,True,True,False,5243,1267,500,24.17,39.46,
160977,2014,Bates College,bates,ME,#8C2131,True,True,False,5044,1282,491,25.42,38.3,
160977,2015,Bates College,bates,ME,#8C2131,True,True,False,5651,1231,517,21.78,42.0,
160977,2016,Bates College,bates,ME,#8C2131,True,True,False,5356,1213,484,22.65,39.9,
160977,2017,Bates College,bates,ME,#8C2131,True,True,False,5316,1166,494,21.93,42.37,
160977,2018,Bates College,bates,ME,#8C2131,True,True,False,7685,1367,522,17.79,38.19,
160977,2019,Bates College,bates,ME,#8C2131,True,True,False,8222,998,499,12.14,50.0,
160977,2020,Bates College,bates,ME,#8C2131,True,True,False,7696,1085,479,14.1,44.15,
160977,2021,Bates College,bates,ME,#8C2131,True,True,False,7319,1267,553,17.31,43.65,
160977,2022,Bates College,bates,ME,#8C2131,True,True,False,8273,1137,518,13.74,45.56,
161004,2002,Bowdoin College,bowdoin,ME,#1B3D6E,True,True,True,4505,1114,458,24.73,41.11,
